선거구코드,시구군코드,시구군,시도,기호,정당,후보명,1위,17년 유권자평균연령,유권자평균교육연수,17년제곱미터당가격,평균 보험료,후보별 득표율,후보별 득표수
1101,11110,서울 종로구,서울,1,더불어민주당,문재인,문재인,48.0 ,13.53071328,582.7550916,114479,41.59,42512
1101,11110,서울 종로구,서울,2,새누리당,홍준표,문재인,48.0 ,13.53071328,582.7550916,114479,21.84,22325
1101,11110,서울 종로구,서울,3,국민의당,안철수,문재인,48.0 ,13.53071328,582.7550916,114479,21.83,22313
1101,11110,서울 종로구,서울,4,바른정당,유승민,문재인,48.0 ,13.53071328,582.7550916,114479,7.25,7412
1101,11110,서울 종로구,서울,5,정의당,심상정,문재인,48.0 ,13.53071328,582.7550916,114479,6.95,7113
1102,11140,서울 중구,서울,1,더불어민주당,문재인,문재인,48.1 ,12.97763776,671.780703,106970,41.23,34062
1102,11140,서울 중구,서울,2,새누리당,홍준표,문재인,48.1 ,12.97763776,671.780703,106970,21.67,17901
1102,11140,서울 중구,서울,3,국민의당,안철수,문재인,48.1 ,12.97763776,671.780703,106970,23.45,19372
1102,11140,서울 중구,서울,4,바른정당,유승민,문재인,48.1 ,12.97763776,671.780703,106970,7.11,5874
1102,11140,서울 중구,서울,5,정의당,심상정,문재인,48.1 ,12.97763776,671.780703,106970,6.04,4993
1103,11170,서울 용산구,서울,1,더불어민주당,문재인,문재인,47.8 ,13.67692025,891.5920641,125502,39.33,58081
1103,11170,서울 용산구,서울,2,새누리당,홍준표,문재인,47.8 ,13.67692025,891.5920641,125502,23.85,35230
1103,11170,서울 용산구,서울,3,국민의당,안철수,문재인,47.8 ,13.67692025,891.5920641,125502,21.74,32109
1103,11170,서울 용산구,서울,4,바른정당,유승민,문재인,47.8 ,13.67692025,891.5920641,125502,8,11825
1103,11170,서울 용산구,서울,5,정의당,심상정,문재인,47.8 ,13.67692025,891.5920641,125502,6.61,9773
1104,11200,서울 성동구,서울,1,더불어민주당,문재인,문재인,46.4 ,13.36134524,745.3264216,105809,42.8,86686
1104,11200,서울 성동구,서울,2,새누리당,홍준표,문재인,46.4 ,13.36134524,745.3264216,105809,20.03,40566
1104,11200,서울 성동구,서울,3,국민의당,안철수,문재인,46.4 ,13.36134524,745.3264216,105809,22.55,45674
1104,11200,서울 성동구,서울,4,바른정당,유승민,문재인,46.4 ,13.36134524,745.3264216,105809,7.83,15859
1104,11200,서울 성동구,서울,5,정의당,심상정,문재인,46.4 ,13.36134524,745.3264216,105809,6.38,12936
